MLS Number,Address,Town,Original List Price,Sold Price,Sold/List %,Style,Rooms,Beds,Baths,Garage,Basement,Days on Market,Listing URL
3950147,"107 Kent Place Blvd",Summit City,919000,915000,100,Colonial / Split Level,8,4,2.1,2,Yes,7,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5340302&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3946398,"10 Woodfern Rd",Summit City,995000,990000,99,Split Level,6,3,2.0,2,Yes,17,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5335405&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3948102,"14 Stony Hill Ct",Summit City,995000,1120000,113,Ranch,10,3,2.0,2,Yes,13,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5340827&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3947500,"50 W End Ave",Summit City,998000,1325000,133,Split Level,10,4,2.0,1,Yes,17,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5269468&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3962919,"33 Eggers Ct",Summit City,999000,1266000,127,Multi Floor Unit / Townhouse-End Unit,8,4,3.1,2,Yes,15,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5357966&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3936774,"47 Butler Pkwy",Summit City,1025000,1200000,117,Split Level,8,4,2.0,1,No,2,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5324089&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3950080,"82 Franklin Pl",Summit City,1025000,999000,97,Multi Floor Unit / Townhouse-Interior,9,2,2.1,1,No,15,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5342821&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3958261,"12 Glen Ave",Summit City,1025000,1250000,122,Custom Home,10,4,2.1,1,Yes,12,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5350011&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=3047497x85_541891&fromPublic=PUBLIC"
3945148,"17 Eggers Ct",Summit City,1050000,1039000,99,Multi Floor Unit / Townhouse-Interior,7,3,3.1,2,Yes,16,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5337250&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3958448,"41 Ashland Rd",Summit City,1095000,1250000,114,Colonial,10,3,2.1,1,Yes,9,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5352327&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3963016,"19 Hickory Rd",Summit City,1125000,1450000,129,Colonial,11,4,2.1,1,Yes,9,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5351131&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3954244,"50 Linden Pl",Summit City,1150000,1375000,120,Cape Cod,11,4,3.0,1,Yes,13,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5347335&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3959235,"14 Chapel St",Summit City,1150000,1150000,100,Colonial / Custom Home / See Remarks,12,4,2.3,1,Yes,14,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5350299&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3940604,"148 Division Ave",Summit City,1250000,1412000,113,Split Level,8,4,2.0,2,Yes,13,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5328763&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3951670,"200 Woodland Ave",Summit City,1250000,1376500,110,Custom Home,9,4,3.0,2,No,9,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5344474&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3952583,"42 Parkview Ter",Summit City,1275000,1650000,129,Colonial,8,4,2.1,1,Yes,11,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5338078&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
3954653,"47 Mountain Ave",Summit City,1299900,1299900,100,Victorian,10,4,2.1,2,Yes,15,"https://emailrpt.gsmls.com/public/show_public_report_rpt.do?method=getData&sysid=5348253&ptype=RES&report=onelinerw,clientfull&pubid=282608&Id=304749785_541891&fromPublic=PUBLIC"
